Designator,Mid X,Mid Y,Rotation,Layer
C1,147.95,-94.6,0,top
C2,148.05,-90,0,top
C3,154.1,-98,90,top
C4,139.05,-103.2,180,top
C5,147.72,-96.5,90,top
C6,148.59,-96.4,90,top
C7,147.01,-96.49,90,top
C8,150.49,-98.92,180,top
C10,138.3,-101.8,-90,top
C11,133,-91,180,top
C12,130.8,-91,0,top
C13,136.1,-103.55,0,top
C15,117.35,-96,180,top
C17,118.55,-104.55,90,top
C18,119.6,-104.55,90,top
C19,151.9,-106,180,top
C20,151.08,-103.63,180,top
C21,144.84,-105.5,-90,top
C23,145.15,-90.1,180,top
C24,125.75,-90.2,180,top
C25,127.35,-91.9,-90,top
C26,138.3,-105.35,180,top
C27,138.3,-108.3,180,top
C28,127.21,-94.48,180,top
C29,135.9,-97.8,0,top
C30,128.9,-101.5,-90,top
C31,132.1,-101.5,-90,top
C32,129.3,-92.6,90,top
C33,127.2,-99,180,top
C34,127.2,-97.4,180,top
C35,127.2,-96.2,180,top
C36,133.7,-101.52,-90,top
C37,134.2,-93,0,top
C38,136.45,-100.2,0,top
C39,130.2,-92.5,90,top
C39(NP0)1,135.9,-99.4,0,top
C40,136.3,-97,0,top
C41,134.6,-91.9,180,top
C42,137.585,-93.79,0,top
C43,137.39,-91.4,180,top
C44,136.3,-96.07,0,top
C45,135.9,-98.7,0,top
C46,132.25,-106,180,top
C47,132.2,-103.5,180,top
D1,148.23,-99.81,90,top
D3,145.84,-107.34,180,top
D4,124.1,-99,0,top
D5,152.5,-99.2,-90,top
FB1,148.06,-97.77,180,top
FB2,150.53,-98,0,top
FB3,148.76,-101.79,0,top
J1,132.65,-107.25,0,top
L1,145.15,-92.4,180,top
L3,138.14,-98.54,90,top
L4,136.6875,-94.95,180,top
L5,133.1,-101.5,-90,top
L6,138.39,-95.42,90,top
L7,132.55,-104.75,-90,top
MK1,119.2,-99,90,top
Q1,120.44,-92.7225,270,top
R1,154.1,-100.3,-90,top
R2,122.55,-92,-90,top
R3,119.36,-96,0,top
R4,123.05,-90.3,0,top
R5,138.3,-106.25,180,top
R6,151.9,-104.9,180,top
R7,149.68,-102.75,0,top
R8,150.6,-107.05,0,top
R9,145.94,-105.5,-90,top
R10,144.91,-103.68,180,top
R11,142.9,-103.68,180,top
R12,128.2,-90.2,180,top
R13,140.8,-104.1,0,top
R14,151.1,-91.3,180,top
R15,151.3,-92.7,180,top
R16,151.3,-94.2,180,top
R17,142.9,-105.68,-90,top
R18,138.29,-107.3,180,top
R19,143.1,-107.67,-90,top
R20,139.37,-92.77,180,top
R21,138.85,-104.1,180,top
R22,150.66,-99.85,180,top
R23,123.22,-94.06,180,top
R24,122.34,-95.05,180,top
R25,121.41,-96.02,0,top
RN3,125.05,-96.49,270,top
S1,143.025,-99,90,top
U2,124.25,-105.625,90,top
U3,148.05,-92.4,180,top
U4,148.54,-105.34,-90,top
U5,125,-92,90,top
U6,140.8,-106.7,270,top
U7,131.5,-97.2,-90,top
X1,131.9,-92.3,180,top
X2,136.4,-101.9,0,top
